"reflections",307,169,3048.2535596450766,23424.93758294677,136.75,3.07,287.97,"x+"
"beotkkot",47,44,3062.6488149581005,23413.21858417144,173.35,3.18,348.21,"x+"
"roadtohrank",166,109,3043.920486621035,23411.096573584735,145.46,2.81,296.73,"x+"
"akma",157,109,3026.9972771288562,23378.348415253244,162.88,3.73,317.31,"x+"
"1081p",119,84,3026.188642646527,23372.9637648858,139.99,2.76,290.59,"x+"
"osw",67,56,3030.763370454939,23368.26079171175,173.83,3.63,342.51,"x+"
"thorns",263,151,3017.507521212135,23356.20044253371,148.12,3.26,299.51,"x+"
"bamge24",88,63,3017.9569241733566,23347.687002455663,153,3.31,299.69,"x+"
"quarpi01",121,87,3013.8138408146046,23347.5234213521,132.53,2.24,278.31,"x+"
"onflow",387,213,3012.0873645720203,23342.76747867984,129.39,2.75,274.01,"x+"
"alkalinextr",512,298,3010.125978393845,23334.85660367547,143.98,2.77,305.95,"x+"
"m8590e74",462,249,3009.015256433043,23334.79098680554,148.91,2.81,297.02,"x+"
"wumbo",117,81,3005.215444036573,23325.646456828454,158.82,3.06,314.78,"x+"
"effigdsk",103,72,2998.020426347398,23311.39306435514,163.04,3.82,317.28,"x+"
"chocokeshy",113,81,2997.8925292192516,23303.776287509267,153.92,3.21,302.71,"x+"
"snowman99",318,185,2993.838788850502,23300.986874921873,142.62,2.85,287.28,"x+"
"shikavex",134,91,2987.685964320485,23285.78231389738,157.95,3.25,319.18,"x+"
"windcatcher",305,176,2986.9372187475674,23282.89734934367,149.1,2.96,301.9,"x+"
"macrowabe",81,57,2987.7147014776883,23280.83431999437,157.46,3.18,313.72,"x+"
"minest_pon",127,86,2982.339407219976,23276.171994948803,136.21,2.62,289.33,"x+"
"lmn_t",119,78,2982.6602606200986,23273.844300432294,132.14,2.61,280.72,"x+"
"wwuly",404,229,2982.2525640600306,23271.956701934283,154.71,3.42,304.78,"x+"
"paback2",104,74,2975.224674717853,23259.071248084623,159.16,3.41,314.43,"x+"
"puyo_puyo_fan",234,145,2975.4805790673863,23256.72726068529,144.77,2.93,297.57,"x+"
"oldtall",85,69,2975.72300847332,23249.20986747038,164.57,3.4,319.73,"x+"
"cra_",164,107,2971.0946361008546,23246.587697436873,155.5,3.53,310.15,"x+"
"kiwianime",89,69,2967.4960130512186,23238.494938242373,161.54,3.42,324.21,"x+"
"rinko-",176,113,2965.893387667152,23233.03422695463,143.54,3.36,289.61,"x+"
"___nek0",63,52,2968.2536063218417,23231.872940158504,167.62,3.45,331.71,"x+"
"cr400af-z_0214",275,162,2964.0878610378068,23228.385162799692,151.2,3.06,306.28,"x+"
"cheezwhiz",144,99,2953.4463453933645,23203.55054040375,141.03,3.28,278.03,"x+"
"combostorm",130,88,2940.8139956680407,23174.36630966703,137.65,3.15,282.75,"x+"
"yida",74,55,2943.559728214743,23172.02846209188,144.51,2.93,298.04,"x+"
"kim16",281,158,2934.329189707223,23154.017242613667,145.42,2.98,293.1,"x+"
"selfishhuman",117,80,2927.553460785398,23141.094190880838,146.62,3.38,294.31,"x+"
"qepsi",176,109,2924.9323297405717,23133.41102275504,146.76,2.86,297.73,"x+"
"eclaire",252,145,2925.6674091092113,23132.939058077216,128.55,2.84,280,"x+"
"miinhuyvcl",216,135,2915.81728591959,23110.075140150777,140.62,3.46,275.83,"x+"
"minjq",222,126,2915.2377021787665,23106.67617664251,140.21,3.17,286.36,"x+"
"zxc35",78,63,2911.5634791715825,23087.36968026038,140.1,3.03,288.06,"x+"
"kirby2",105,76,2903.58008132485,23078.385486049847,132.21,2.8,280.76,"x+"
"unzenta",580,289,2902.164681036894,23070.18145732135,136.67,3.01,283.02,"x+"
"togaiats",54,43,2904.789446282779,23061.865482265068,169.23,3.51,330.27,"x+"
"svdany",169,107,2896.7081977997213,23058.90873640846,136.55,3.03,283.79,"x+"
"molong",216,131,2884.4507700334916,23027.36122650721,132.2,2.73,279.59,"x+"
"bhj123",44,39,2897.7922863183776,23026.325716310646,183.8,3.98,339.61,"x+"
"icly",75,59,2889.8095997373334,23006.644037475457,152.93,2.86,309.22,"x+"
"applemx",205,125,2876.578551439295,23004.529115924302,138.96,3.01,291.32,"x+"
"toptester",184,107,2875.2257751508882,23000.44979279373,123.1,3.03,269.56,"x+"
"alvgreat",75,58,2876.6459519286805,22994.929490668936,149.24,2.97,304.9,"x"
"bfirecatb",339,186,2872.6719284976143,22993.49107485798,129.15,2.43,276.63,"x"
"gladdon",473,258,2869.6190567439016,22986.759682174154,134.25,3.05,274.11,"x"
"neuropathic",43,36,2871.0396777836468,22976.245779620498,145.42,3.1,297.48,"x"
"pyhok",522,263,2862.3711130018605,22965.27407392584,127.67,2.83,261.82,"x"
"qmk",142,98,2860.7155228621687,22959.149444648214,149.1,2.91,310.48,"x+"
"kasane_teto",85,67,2858.952470956413,22952.73121065412,136.87,2.84,280.46,"x"
"nggt",317,182,2856.3811036162006,22950.01409694313,127.3,2.64,269.92,"x"
"alea",67,52,2856.851827235884,22944.945545328603,147.06,3.04,300.85,"x"
"z2sam",358,198,2854.4145697199297,22944.721856445016,140.66,3.47,286.6,"x"
"rippleyo",86,61,2856.216188341058,22942.281291549145,133.25,2.72,284.69,"x"
"red231",158,108,2853.299860807536,22939.158516440533,148.1,3.21,288.33,"x"
"rky1618",104,73,2852.418610803572,22936.961221764057,144.91,3.17,290.08,"x"
"dracomalfoy",191,120,2848.821739581892,22929.249574819296,136.78,3.12,270.69,"x"
"jed",93,65,2843.0441535921573,22903.786711286164,143.15,3.27,292.06,"x"
